//Database Version
@@DATABASE=;VER=1;REV=0;EDIT=18
//Compatibility with the software
@@SOFT=446;VER=1;REV=0
00:295A:00:00:10;0152;64;kg/m3;;2035;16;met/conf/conv/16/density;0;0;0;0;0;
00:2942:00:00:00;0154;11;;;2035;17;met/conf/loading_plan;0;0;0;0;0;
00:2943:00:00:00;0155;11;;;2035;18;met/conf/loading_plan_lock;0;0;0;0;0;
00:2919:00:00:00;0156;01;;;2035;19;met/conf/mode;0;0;0;0;0;
00:291A:00:00:00;0157;11;;;2035;1A;met/conf/cma_opt/state;0;0;1;0;0;
00:2944:00:00:00;0158;11;;;2035;1B;met/conf/handle_returns;0;0;0;0;0;
00:2945:00:00:00;0159;02;;;2035;1C;met/conf/free_preset;0;0;0;0;0;
00:2959:00:00:01;015A;11;;;2035;1D;met/conf/prod/1/Correction;0;0;0;0;0;
00:2959:00:00:02;015B;11;;;2035;1E;met/conf/prod/2/Correction;0;0;0;0;1;
00:2959:00:00:03;015C;11;;;2035;1F;met/conf/prod/3/Correction;0;0;0;0;1;
00:2959:00:00:04;015D;11;;;2035;20;met/conf/prod/4/Correction;0;0;0;0;0;
00:2959:00:00:05;015E;11;;;2035;21;met/conf/prod/5/Correction;0;0;0;0;1;
00:2959:00:00:06;015F;11;;;2035;22;met/conf/prod/6/Correction;0;0;0;0;0;
00:2959:00:00:07;0160;11;;;2035;23;met/conf/prod/7/Correction;0;0;0;0;1;
00:2959:00:00:08;0161;11;;;2035;24;met/conf/prod/8/Correction;0;0;0;0;1;
00:2959:00:00:09;0162;11;;;2035;25;met/conf/prod/9/Correction;0;0;0;0;1;
00:2959:00:00:0A;0163;11;;;2035;26;met/conf/prod/10/Correction;0;0;0;0;0;
00:2959:00:00:0B;0164;11;;;2035;27;met/conf/prod/11/Correction;0;0;0;0;0;
00:2959:00:00:0C;0165;11;;;2035;28;met/conf/prod/12/Correction;0;0;0;0;0;
00:2959:00:00:0D;0166;11;;;2035;29;met/conf/prod/13/Correction;0;0;0;0;0;
00:2959:00:00:0E;0167;11;;;2035;2A;met/conf/prod/14/Correction;0;0;0;0;0;
00:2959:00:00:0F;0168;11;;;2035;2B;met/conf/prod/15/Correction;0;0;0;0;0;
00:2959:00:00:10;0169;11;;;2035;2C;met/conf/prod/16/Correction;0;0;0;0;0;
00:2928:00:00:00;016A;11;;;2035;2D;met/conf/bypass_pump_ema_hose1;0;0;0;0;0;
00:2928:00:00:01;016B;11;;;2035;2E;met/conf/bypass_pump_ema_hose2;0;0;0;0;0;
00:F003:01:00:00;016C;11;;;2035;2F;met/conf/conv2/enable;0;0;0;0;0;
00:0110:01:00:00;016D;02;;;2035;30;met/conf/conv2/disp;0;0;0;0;0;
00:F001:01:00:00;016E;64;C;;2035;31;met/conf/conv2/density_temp;0;0;0;0;0;
00:F002:01:00:00;0170;64;C;;2035;32;met/conf/conv2/ref_temp;0;0;0;0;15;
00:291A:01:00:00;0172;11;;;2035;33;met/conf/cma_opt2/state;0;0;1;0;1;
00:F000:02:00:00;0173;01;;;2035;34;met/conf/conv/em/c/formula;0;0;0;0;0;
00:8072:00:00:00;0174;11;;;2035;35;met/conf/density/locked;0;0;0;0;0;
00:3200:00:00:00;0190;11;;;2040;01;met/conf/instru/press/state;0;0;0;0;0;
00:3210:00:00:00;0191;64;;;2040;02;met/conf/instru/press/gain;0;0;0;0;0;
00:3211:00:00:00;0193;64;;;2040;03;met/conf/instru/press/offset;0;0;0;0;0;
